ISCA2,"Neurodegeration, developmental delay, failure to thrive, quadriplegia, truncal hypotonia, optic atrophy, leukoencephalopathy|Mitochondrial disorder, neurodegenerative"
TMEM92,"Cerebellar atrophy, hydrocephalus, global developmental delay and bilateral squint"
GSTM3,"Reduced IgG titer levels in serum against Helicobacter pylori, association with|Reduced expression|Reduced activity|Larynx cancer, increased risk, association with|Head and neck cancer, second primary tumour, reduced risk, assoc|Alzheimer's disease, increased risk, association with|Alzheimer disease, association with"
DPH1,"Cerebellar vermis hypoplasia, Dandy-Walker Malformation, hydrocephalus, developmental delay|Intellectual disability with short stature, craniofacial and ectodermal anomalies"
NFKBIZ,Colorectal cancer 
ETV1,"Speech delay, psychomotor retardation, and dysmorphic facial appearance"
WDR73,"Cerebellar atrophy, infantile-onset|Galloway-Mowat syndrome"
nlgn3tv1,Intellectual disability  
NBPF17P,"Neuroblastoma, association with"
TXNL4A,Burn-McKeown syndrome
GSTM4,Altered splicing|Reduced promoter activity
UBE2L3,"Autoimmune disease, association with"
PPP6R3,"Bone mineral density, association with "
SMG6,"Osteoporotic fractures, association with"
gtpbp3i5,"Hypertrophic cardiomyopathy, lactic acidosis & encephalopathy"
HOXA5,"Osteoporosis, association with "
PKDCC,"Osteoporosis, association with "
URB2,"Fasting insulin levels, association with"
CEP120,Jeune asphyxiating thoracic dystrophy
RIPPLY2,Klippel-Feil syndrome|Vertebral segmentation defects
GSTO1,"Reduced enzyme activity|Cancer risk, association with|Alzheimer disease, late onset, association with|Altered enzyme activity"
CENPF,Ciliopathy & microcephaly
OSBPL2,"Hearing loss, autosomal dominant"
RPA3,Endometrial cancer   
CDK5,"Lissencephaly, with cerebellar hypoplasia"
CLIP1,"Intellectual disability, autosomal recessive"
A2ML1,"Noonan syndrome|Noonan-like syndrome  |Otitis media, susceptibility to"
STAG2,"Diaphragmatic hernia, congenital  |Intellectual disability  "
CHCHD2,"Parkinson disease, autosomal dominant"
fastkd2i1,Cerebellar ataxia  
GSTP1,"Malignant melanoma, association with.|Myelodyplastic syndromes, increased risk, association with|Myelodysplastic syndrome, association with.|Oral cancer in light smokers, association with|Oral cancer, association with|Orofaciolingual tardive dyskinesia, reduced risk, association|Parkinsons disease, association with|Plasmodium vivax malaria, susceptibility, association with|Thyroid cancer, increased risk|Tumour development, increased risk|Lung cancer, increased risk in non-smokers, association with|Lung cancer, in men, association with|Lung cancer, association with.|Altered toluene di-isocyanate metabolism|Asthma, reduced risk|Atopic dermatitis, association with|Breast cancer, increased risk|Breast cancer, reduced risk|Cancer, association with.|Epithelial ovarian cancer, association with|Head and neck cancer|Increased activity|Liver cirrhosis, reduced survival rate, association with"
HKDC1,"Reduced promoter activity|Reduced expression|Increased promoter activity|Gestational hyperglycaemia, association with"
wnk1tv4,Cerebellar ataxia  
foxp1i6,Developmental delay & speech impairment
NEDD4,Infantile spasms
CALN1,Infantile spasms
COA3,"Neuropathy, exercise intolerance, obesity & short stature"
AGAP1,Cerebral palsy  
GSTT1,"Non-conjugator phenotype|Nasopharyngeal cancer, association with.|Myelodysplastic syndromes, association with|Melanoma due to CDKN2A mutation, protection against, association|Male infertility and asthenozoospermia, increased risk, association|Lung cancer, in women, association with|Lung cancer, association with|Oesophageal cancer, association with|Prostate cancer, reduced risk, association with|Prostate cancer/corpus uteri cancer, association with|Reduced foetal birth weight in smokers, association with|Reduced gene expression, association with|Reduced thermostability|Reduced transcriptional activity|Toxicity, after autologous blood and marrow transplant, association with|Triglyceride and HDL-cholesterol levels, association with|Lower vitamin C levels, association with|Leukopaenia and neutropaenia, association with|Alzheimer disease, increased risk|Bladder cancer, association with|Cancer, association with.|Cataract, age-related, association with|Childhood acute leukaemia, in Asians, association with.|Colorectal cancer, association with|Diabetic retinopathy, association with|Epithelial ovarian cancer, association with|GSTT1 variant|Head and neck cancer, association with|Hepatocellular carcinoma, association with|Hepatocellular carcinoma, in East Asians, association with.|Increased transcriptional activity|Infertility, protection against, association with.|Inflammatory bowel disease, association with|Altered function"
CD99L2,Cerebral palsy  
WIPI2,Cerebral palsy  
KDM7A,Cerebral palsy  
NAA35,Cerebral palsy  
pak3tv6,Cerebral palsy  
KAT6A,"Hypotonia, intellectual disability, feeding/oromotor difficulties, microcephaly/craniosynostosis, cardiac & facial defects|Microcephaly, developmental delay & craniofacial dysmorphism"
P4HB,"Amyotrophic lateral sclerosis, predisposition to|Cole-Carpenter syndrome"
IKZF3,"Multiple sclerosis, increased risk, association with|HDL cholesterol, association with "
nrxn2b,"Nicotine dependence risk, association with"
GSTT2,Reduced promoter activity
nrxn2a1,"Nicotine dependence risk, association with"
ARRB2,"Nicotine dependence risk, association with"
DCLK2,"Hereditary motor & sensory neuropathy, phenotype modifier"
FOXI3,"Aural atresia, microtia & internal carotid artery agenesis"
APC2,Sotos-like syndrome
SUCO,Mesial temporal lobe epilepsy
AKAP9,"Sudden infant death  |Schizophrenia|Long QT syndrome|Colorectal cancer, increased risk, association with|Cardiomyopathy, right ventricular  |Cardiac arrhythmia|Brugada syndrome|Breast cancer, susceptibility to|Breast cancer, increased risk, asssociation with|Breast cancer|Autism spectrum disorder"
GTF2H5,Trichothiodystrophy
rps24id,Autism spectrum disorder
CD300LF,Autism spectrum disorder
EZR,Intellectual disability  
LOXL3,Stickler syndrome
SOCS4,Autoimmunity  
GTF2IRD1,Autism |Williams-Beuren syndrome features
CRIM1,Colobomatous macrophthalmia with microcornea syndrome
MRPS7,"Sensorineural deafness, progressive hepatic & renal failure & lactic acidaemia"
gnei3,Inclusion body myositis
SLC7A11,Febrile seizures plus
ELMO1,"Dravet syndrome, atypical"
HS2ST1,Dravet syndrome   
WNT6,Recurrent miscarriage 
POC5,Scoliosis 
ldb3i3,Myofibrillar myopathy 
GTF2IRD2,Impaired executive function in Williams-Beuren syndrome|Williams-Beuren syndrome features
SEMA3C,Hirschsprung disease  
COLEC10,Increased CL-L1 serum levels
AFF4,"Cognitive impairment & coarse facies, heart defects, obesity, pulmonary involvement & short stature"
ZNF143,"Psoriasis, association with"
C1orf141,"Psoriasis, association with"
C1orf68,"Psoriasis, association with"
AIM2,"Psoriasis, association with"
ZFYVE16,"Psoriasis, association with"
CCDC129,"Psoriasis, association with"
GUCA1A,"Retinitis pigmentosa, atypical |Retinal degeneration|Cone-rod dystrophy|Cone dystrophy, autosomal dominant"
tribal,"Coronary heart disease, increased risk, association with "
TAX1BP3,"Cardiomyopathy, dilated with septo-optic dysplasia"
SIK1,Developmental epilepsy|Myoclonic encephalopathy
NDUFB11,Microphthalmia with linear skin lesions|Histiocytoid cardiomyopathy
GPR180,Microcoria|Goniodysgenesis
sgk1tv2,"Chorioretinopathy, central serous"
DGKB,Short stature    
NRP1,Truncus arteriosus
UBE3D,"Macular degeneration, age related, reduced risk"
GUCA1B,"Usher syndrome |Retinitis pigmentosa, autosomal dominant|Retinitis pigmentosa, atypical |Retinitis pigmentosa|Retinal dystrophy, autosomal dominant|Leber congenital amaurosis"
GUCY2D,"Increased severity in Leber congenital amaurosis |Leber congenital amaurosis|Lung cancer, susceptibility to, association with|Macular dystrophy|Maculopathy and cone dystrophy|Potential protein deficiency|Retinal degeneration|Retinitis pigmentosa|Usher syndrome  |Cone/cone-rod dystrophy.|Cone/cone-rod dystrophy|Bull's eye maculopathy|Central areolar choroidal dystrophy|Cone degeneration, progressive|Cone dystrophy|Cone dystrophy, autosomal dominant|Cone dystrophy.|Cone-rod degeneration, autosomal dominant|Cone-rod dystrophy|Cone-rod dystrophy."
SYT1,"Dyskinetic movement disorder, motor delay & cognitive impairment|Intellectual disability & facial abnormalities"
RUNDC1,Glioma  
RPS27,Diamond-Blackfan anaemia
RPL27,Diamond-Blackfan anaemia
P4HA2,"High myopia, non-syndromic"
TMX3,Microphthalmia
GUSB,"Reduced promoter activity|Mucopolysaccharidosis VII|Increased activity|Hydrops fetalis, nonimmune|Hydrops fetalis"
DMXL2,"Gonadotropic axis deficiency, hypothyroidism, polyneuropathy, mental retardation, and hypoglycaemia"
LRRC7,Autism spectrum disorder
BIRC6,Autism spectrum disorder
UTP6,Autism spectrum disorder
ZNF774,Autism spectrum disorder
KRT24,Autism spectrum disorder
ZNF559,Autism spectrum disorder
GYPA,"MNS antigen, absence|M blood type variant|Haemolytic disease of the newborn|Blood group variation|Blood group Erik variant"
ATP4A,"Gastric neuroendocrine tumour, type 1"
MMP21,Heterotaxy
LIN7B,Autism spectrum disorder
BPIFB1,"Lung cancer, increased risk, association with"
HIST1H1E,"Intellectual disability  |Lung cancer, lower risk, association with|Non-obstructive azoospermia, reduced risk"
FOXO3,"Severe malaria, increased risk, association with"
MDH2,Paraganglioma  
ATP9B,"Hailey-Hailey disease, modifier of"
TBPL2,"Galectin-3 levels, association with"
NFXL1,"Specific language impairment|Specific language impairment, increased risk"
GYPB,Blood group variation|Ss blood group variation
MIR605,"Li-Fraumeni syndrome, age-at-onset, association with"
PCGF2,Developmental disorder  
ABCA6,Increased cholesterol levels
GRIN3B,"Mismatch negativity, association with|Schizophrenia, increased risk, association with"
APLN,"Arterial stiffness, association with"
SH3GL2,"Head and neck cancer, modifer of"
AK5,Intellectual disability  
SPARC,"Osteoporosis, association with |Osteogenesis imperfecta  "
RCAN1,Increased promoter activity|Reduced promoter activity
GYPC,Glycophorin C variant|Gerbich-negative blood group|Elliptocytosis|Duch blood group
DDX41,"Acute myeloid leukaemia |Refractory anaemia with excess blasts, type 1|Refractory cytopaenia with multilineage dysplasia|Secondary acute myeloid leukaemia"
PARN,Dyskeratosis congenita|Pulmonary fibrosis  
IL17RC,IL-17RC deficiency
SMO,Medulloblastoma  
DCPS,Intellectual disability  
EDC3,Intellectual disability  
MNDA,Heterotaxy  
GDF7,Heterotaxy  
OSTC,Heterotaxy  
PDIA3,"Amyotrophic lateral sclerosis, predisposition to"
AKR1B1,"Diabetes mellitus, without diabetic complications|Retinopathy in diabetic patients, association with"
GYS1,"Muscle glycogen storage disease 0|Insulin resistance, mild, association with|GYS1 deficiency|Glycogen storage disease"
plec1a,Epidermolysis bullosa simplex 
CAD,Glycosylation disorder
POLR1A,Acrofacial dysostosis
PYCR2,Microcephaly & hypomyelination
COG2,Congenital disorder of glycosylation  
TAS2R42,"Increased thyroid hormone levels, association with"
PPAP2B,"Coronary artery disease, protection against, association with"
MYL4,"Atrial fibrillation, early-onset"
GYS2,"Glycogen storage disease 0|Hypoglycaemia, ketotic"
CPT1C,"Spastic paraplegia, autosomal dominant"
MT1X,"Zinc deficiency, in Wilson disease"
GAS8,Primary ciliary dyskinesia  |Sperm immotility
ETV4,Colorectal cancer 
FZD10,Colorectal cancer 
MAST2,Colorectal cancer 
NOX4,"Reactive oxygen species levels, in peripheral blood  mononuclear cells, association with"
STYXL1,"Intellectual disability, epilepsy and behavioural complexities"
AZGP1,"Obesity, early-onset"
FZD2,"Omodysplasia, autosomal dominant"
GZMB,"Vitiligo, generalized, association with|Increased expression in vitro, association with|Haemophagocytic lymphohistiocytosis, Epstein-Barr-virus-associated|Haemophagocytic lymphohistiocytosis,  Epstein-Barr-virus-associated|Apoptosis, unable to induce, association with"
PMPCA,Cerebellar ataxia  
MIR548AC,"Multiple sclerosis, susceptibility to, association with"
KANK4,"Nephrotic syndrome, steroid resistant"
RNF31,"Autoinflammation, immunodeficiency, amylopectinosis & lymphangiectasia"
PBRM1,Renal cell carcinoma
SOS2,Noonan syndrome
SPATA5,"Schizophrenia  |Microcephaly, intellectual disability, seizures & hearing loss"
ADGRF4,Schizophrenia  
TEKT5,Schizophrenia  
H19,"Silver-Russell syndrome|Growth retardation  |Birthweight, association with |Beckwith-Wiedemann syndrome "
ARSG,"Writer's cramp, increased risk|Musician's dystonia"
KCNV1,Autism spectrum disorder
POLR3C,Aberrant splicing
SEMA6B,Autism spectrum disorder
WIF1,"Cancer, increased risk  "
HNRNPA0,"Cancer, increased risk  "
FBXO24,Gastric cancer  
ELL2,"Reduced immunoglobulin levels|Multiple myeloma, association with"
DOCK2,DOCK2 deficiency
ARHGAP21,"Mandibular prognathism|Intellectual disability, cortical atrophy, colpocephaly, seizures"
H6PD,"Polycystic ovary syndrome, reduced risk|Obesity, association with|Multiple sclerosis, reduced risk, association with|Higher mean carotid intima-medial thickness, association with|Cortisone reductase deficiency, partial|Cortisone reductase deficiency"
DRAM2,Retinal dystrophy with early macular involvement
ADGRG6,Arthrogryposis multiplex congenita  
RECQL,Breast cancer  
DYNC2LI1,Jeune-like syndrome|Short rib-polydactyly syndrome 
LOC105378934,"Altered pinna morphology, association with"
KIAA0586,Ciliopathy  |Joubert syndrome
HGFAC,"Increased hepatocyte growth factor levels, association with"
SIGIRR,Necrotizing enterocolitis
GPR85,Autism spectrum disorder
CDKN3,Schizophrenia  
HABP2,"Venous thrombosis, increased risk, association with|Stroke, increased risk|Papillary thyroid cancer, susceptibility  to|HCV-induced liver fibrosis, association with|Carotid stenosis, association with"
PIGC,"Hydrops fetalis, nonimmune"
UBN1,"Hydrops fetalis, nonimmune"
FCRL4,"Hydrops fetalis, nonimmune"
THSD1,"Hydrops fetalis, nonimmune"
GALNT14,"Neuroblastoma|Hydrops fetalis, nonimmune"
PTPRS,Neural tube defects
OCEL1,Aicardi syndrome
PI4KA,"Long QT syndrome  |Perisylvian polymicrogyria, cerebellar hypoplasia & arthrogryposis"
SASH1,"Lentiginosis, Autosomal dominant|Pigmentation defects, palmoplantar keratoderma & skin carcinoma"
MYRIP,Male infertility  
HADH,"Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency |Medium and short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency|Intellectual disability, Spinal muscular atrophy-like phenotype and hypotonia|Hypoglycaemia, hyperinsulinaemic|Hyperinsulinism"
DLEC1,Breast cancer  
HSPA2,Azoospermia  
LRRC4C,Male infertility  |Azoospermia  
PDE3A,"Hypertension, dominant with brachydactyly"
TEX11,Azoospermia with mixed testicular atrophy|Male infertility  
PROX1,"Triglyceride levels, association with"
SLC1A4,"Intellectual disability, microcephaly, spasticity & thin corpus callosum|Intellectual disability & microcephaly  |Developmental delay, microcephaly & hypomyelination"
SEC16A,Axial spondyloarthritis
PTGFR,"Essential hypertension, susceptibility to"
HSD17B10,"X-linked mental retardation|Epilepsy, choreoathetosis & mental retardation, X-linked|2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency"
CCND3,Coarctation of the aorta 
SCYL1,Coarctation of the aorta 
ARHGEF1,Coarctation of the aorta 
SMTN,Coarctation of the aorta 
VAX2,Optic atrophy & photoreceptor degeneration
COPA,Autoimmune-mediated lung disease and arthritis
XPR1,Primary familial brain calcification
IPMK,Small intestinal carcinoid
APPL1,Familial Diabetes mellitus
ADAMTS19,Premature ovarian failure 
HADHA,"Hemolysis, elevated liver enzymes, and low platelets|Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency|Mitochondrial trifunctional protein deficiency|Mitochondrial trifunctional protein deficiency & rhabdomyolysis"
WDR26,Long QT syndrome  
KIF21B,Long QT syndrome  
SLC2A5,Long QT syndrome  
CIT,Long QT syndrome  
SIRT6,Long QT syndrome  
CLCA4,Cryptozoospermia
HADHB,"Potential protein deficiency|Mitochondrial trifunctional protein deficiency |Hypoparathyroidism, infanitle-onset & peripheral polyneuropathy|Charcot-Marie-Tooth disease  |Cardiomyopathy  "
SV2A,"Intractable epilepsy, involuntary movements, microcephaly, and development and growth retardation"
IFNA4,"Crohn's disease, association with"
DLX4,Orofacial clefting 
VGF,Neurobehavioural disorder & mental retardation
PCDH7,Epilepsy  
RORB,Epilepsy  
ANKLE2,Microcephaly  
TSNARE1,Epilepsy  
KIF19,Intellectual disability  
CTU2,Intellectual disability  
AKR1C3,"Lung cancer, increased risk, association with|Polycystic ovary syndrome, association with|Reduced enzyme activity|Reduced enzyme activity with DAUN|Reduced enzyme activity with DOX/DAUN"
LRRC10,"Cardiomyopathy, dilated"
COL6A6,Myopathy  
MIR204,Retinal dystrophy 
SCNM1,"Epilepsy, idiopathic generalised "
PRDM12,Congenital insensitivity to pain
RNASEH1,"Mitochondrial encephalomyopathy, adult-onset"
CD9,Breast cancer  
lama3tv1,"Breast cancer    | Epidermolysis bullosa, dystrophic"
MCAT,Breast cancer     
ZNF217,Breast cancer    
HAL,"Infrarenal abdominal aortic calcified plaque, association with|Histidinaemia|Coronary heart disease"
CCDC160,Moebius syndrome
RSPH3,Primary ciliary dyskinesia with central complex defects
TCTEX1D2,Jeune asphyxiating thoracic dystrophy
RBP5,Total anomalous pulmonary venous return
RDH10,Total anomalous pulmonary venous return
SRRM2,Papillary thyroid carcinoma 
igf2tv3,Intrauterine and postnatal growth restriction
IRF2BP2,"Coronary artery disease, increased risk, association with"
HAMP,"Haemochromatosis|Haemochromatosis, HFE related|Haemochromatosis, juvenile|Increased liver iron concentration|Porphyria cutanea tarda, in black and coloured South Africans, association with.|Reduced serum transferrin concentration|Thalassaemia beta"
MIR423,"Ovarian cancer, increased risk in BRCA2 carriers"
LCP1,"Prostate cancer, reduced risk, association with"
ACOT4,"Ischaemic stroke, increased risk"
pcdh15tva,Leber congenital amaurosis
POLI,"Adenocarcinoma/squamous cell carcinoma, association with|Decreased activity|Increased activity|Prostate cancer, association with "
ESCO1,"Prostate cancer, association with "
REV1,"Squamous cell carcinoma, association with"
CDO1,"Diaphragmatic hernia, congenital  "
DLST,"Diaphragmatic hernia, congenital  "
HAVCR1,"Rheumatoid arthritis, association with |Hepatitis A-induced acute liver failure, susceptibility to, association with|Asthma, susceptibility to, association with|Allergic diseases, susceptibility, association with "
PPAPDC2,"Diaphragmatic hernia, congenital  "
PTPN12,"Diaphragmatic hernia, congenital  |Ventricular septal defect, interrrupted aortic arch and pyloric stenosis"
SIN3A,"Diaphragmatic hernia, congenital  "
SLC5A9,"Parkinson disease, early onset|Diaphragmatic hernia, congenital  "
TLN1,"Diaphragmatic hernia, congenital  "
C10orf90,"Breast cancer, protection against, association with "
DBX2,Intellectual disability & growth delay
mitftv3,Sensorineural hearing loss  
HBA1,Reduced oxygen affinity|Shortness of breath|Thalassaemia|Thalassaemia alpha|Thalassaemia alpha / HbH disease|Thalassemic syndrome|Thrombosis|Polycythaemia|Microcytosis and hypochromia|Microcytosis|Alpha thalassaemia intermedia |Anaemia   |Erythrocytosis ?|Haemoglobin H disease|Haemoglobin variant|Haemolytic anaemia|Microcytic hypochromic anaemia  
SLC30A6,Autism spectrum disorder
LSS,Cataract  
GPR149,Autism spectrum disorder
FER,Autism spectrum disorder
SLC7A3,Autism spectrum disorder
PLVAP,"Hypoproteinaemia, hypoalbuminaemia, and hypertriglyceridaemia"
HELLS,"Immunodeficiency, centromeric instability and facial anomalies syndrome, type 4"
HBA2,"Methemoglobinaemia, symptomatic.|Microcytosis|Microcytosis & hypochromia with splenomegaly|Microcytosis and hypochromia|Polycythaemia  |Reduced activity|Thalassaemia alpha|Thalassaemia alpha / HbH disease|Thalassaemia alpha intermedia|Thalassaemia intermedia|Thalassaemia major|Hydrops fetalis|HbH-CS disease|Anaemia|Anaemia with hypochromia & microcytosis|Cyanosis|Decreased alpha-globin expression|Effort dyspnea, new-onset.|Erythrocytosis|Haemoglobin H disease|Haemoglobin variant|Haemoglobinopathy, beta|Haemolytic anaemia|Hb H/Hb CS presenting with foetal anaemia & foetal hydrops Hb H (B4) [in the presence of the SEA deletion ]"
KCNMA1tv3,Early onset paroxysmal dyskinesia and developmental delay
ADGRF1,Autism spectrum disorder
HBB,"Sickling variant|Thalassaemia A-gamma-delta-beta|Thalassaemia beta|Thalassaemia beta, mild|Sickling haemoglobinopathy |Sickle cell anaemia|Severe malaria, protection against|Severe anaemia|Polycythaemia|Plasmodium falciparum transmission, association with|Thalassaemia beta, silent|Thalassaemia delta beta|Thalassemia trait|Thalassaemia, intermediate-type|Thalassaemia trait|Thalassaemia intermedia, association with|Thalassaemia intermedia|Thalassaemia gamma-delta-beta|Thalassaemia G-gamma(delta-beta)|Thalassaemia epsilon-gamma-gamma-delta-beta|Thalassaemia epsilon-gamma-delta-beta|Thalassaemia delta-beta|Microcytosis, hypochromic|Acute splenic infarct|Erythrocytosis ?|Erythrocytosis|Dyspnea, progressive|Bone marrow necrosis & sickle cell crisis |Beta thalassemia with inclusion bodies|Beta thalassemia intermedia|Anaemia, hypochromic microcytic|Anaemia  |Altered haemoglobin levels|Haemoglobin variant|Haemoglobinopathy, hyperunstable|Haemolytic anaemia|Microcytosis  |Methemoglobinemia & Heinz body hemolytic anaemia in GR deficiency|Methemoglobin variant Hb Dothan|Malaria, protection against, association with.|Malaria, protection against, association with|Increased haemoglobin A2|Hereditary persistence of foetal haemoglobin, association|Hereditary persistence of foetal haemoglobin|Hereditary haemolytic anaemia|Haemolytic anaemia."
MYO16,Autism spectrum disorder
PSD3,Autism spectrum disorder
RORC,Inborn errors of immunity
TRMT5,Multiple respiratory-chain deficiencies
POLD3,Colorectal adenoma/carcinoma
HEY2,Congenital heart defects & cognitive impairment
EPS8L2,"Hearing loss, autosomal recessive"
SKIL,Intraductal papillary mucinous neoplasm
DEFA4,IgA nephropathy 
HBD,Thalassaemia delta|Thalassaemia delta-beta|Thalassaemia delta.|Thalassaemia intermedia|Thalassaemia beta|Thalassaemia|Potential protein deficiency|Hereditary persistence of foetal haemoglobin|Haemoglobin variant|Erythrocytosis|Beta thalassemia intermedia
MYCT1,IgA nephropathy  
SYPL2,"Obesity, association with"
CD164,"Hearing impairment, nonsyndromic"
CFAP52,"Heterotaxy, visceral & situs inversus totalis"
CNGA2,"Anosmia, isolated congenital"
PTPN4,Rett-like syndrome
NLRP5,Multilocus imprinting disorder
KLRB1,Reduced ligand binding
ATG4A,"Ovarian cancer, reduced risk, association with"
E2F2,"Ovarian cancer, increased risk, association with"
HBE1,Thalassaemia gamma-delta-beta|Thalassaemia epsilon-gamma-delta-beta|Increased expression 
AK7,Primary ciliary dyskinesia  
VIL1,Glycogen storage disease  
ZNF519,Isolated microcephaly
GJA9,Retinal dystrophy and obesity
GLG1,"Developmental delay, hypotonia, microcephaly, dysmorphism and growth hormone deficiency"
MANF,"Diabetes, hypothyroidism, hypogonadism, short stature, ID, obesity, deafness, high myopia, microcephaly and alopecia"
tgif1tv1,"Cleft lip, isolated"
PMP2,Charcot-Marie-Tooth disease 1
HBG1,"Thalassemia delta-beta|Thalassaemia intermedia, association with|Thalassaemia gamma-delta-beta|Thalassaemia gamma|Thalassaemia epsilon-gamma-delta-beta|Thalassaemia A-gamma-delta-beta|Thalassaemia A-gamma-beta|Phenotype modifier, association with |Low A gamma expression|Increased expression|Hereditary persistence of foetal haemoglobin|Haemoglobin variant"
SPTLC3,Charcot-Marie-Tooth disease  
DNAJB5,Myoclonus and progressive distal muscular myopathy
PRIMA1,"Epilepsy, nocturnal frontal lobe"
SLC35F5,"Microcephaly, cerebral palsy and dysmorphia"
CXorf36,"Intellectual disability, deafness, Duane anomaly, obesity and diabetes type 2"
MAGEA4,Speech delay  
MIR137HG,"Schizophrenia, increased risk "
